id,group,games_played,retained_1,retained_7
10276,B,1,FALSE,FALSE
10336,A,11,FALSE,FALSE
10476,B,4,FALSE,FALSE
10533,B,21,FALSE,FALSE
10598,B,8,FALSE,FALSE
10636,A,246,TRUE,TRUE
10637,B,0,FALSE,FALSE
10676,B,6,FALSE,FALSE
10756,A,16,FALSE,FALSE
10884,B,49,TRUE,FALSE
11093,B,54,TRUE,TRUE
11127,A,66,TRUE,TRUE
11297,A,0,FALSE,FALSE
11411,A,122,TRUE,TRUE
11420,A,75,TRUE,FALSE
11599,A,3,FALSE,FALSE
11675,B,17,FALSE,FALSE
11747,A,1,TRUE,FALSE
11840,A,24,FALSE,FALSE
11886,A,3,FALSE,FALSE
12053,A,11,TRUE,FALSE
12067,B,7,FALSE,FALSE
12163,A,47,TRUE,FALSE
12393,B,1,FALSE,FALSE
12461,B,4,FALSE,FALSE
12523,A,31,TRUE,FALSE
12558,A,13,FALSE,FALSE
12574,A,22,TRUE,FALSE
12749,A,6,TRUE,FALSE
12905,B,1,FALSE,FALSE
12951,B,2,FALSE,FALSE
12967,A,24,TRUE,FALSE
12979,A,6,FALSE,FALSE
13133,B,6,FALSE,FALSE
13216,A,24,TRUE,FALSE
13228,B,9,FALSE,FALSE
13320,B,34,FALSE,FALSE
13321,B,56,FALSE,FALSE
13376,B,12,TRUE,FALSE
13429,A,60,FALSE,TRUE
13494,B,10,TRUE,FALSE
13633,A,67,FALSE,FALSE
13664,A,42,TRUE,TRUE
13721,B,65,TRUE,FALSE
13758,A,1,FALSE,FALSE
13806,A,4,FALSE,FALSE
13856,A,3,FALSE,FALSE
13872,A,1,FALSE,FALSE
13893,B,14,FALSE,FALSE
13969,B,42,FALSE,FALSE
14143,A,13,FALSE,FALSE
14218,A,129,FALSE,TRUE
14290,B,6,TRUE,FALSE
14296,A,37,FALSE,FALSE
14381,B,9,FALSE,FALSE
14592,A,1,FALSE,FALSE
14644,B,2,FALSE,FALSE
14834,A,27,FALSE,FALSE
15157,B,38,FALSE,FALSE
15173,A,8,FALSE,FALSE
15294,A,51,TRUE,TRUE
15489,A,5,FALSE,FALSE
15597,B,2,FALSE,FALSE
15962,A,0,FALSE,FALSE
15970,B,16,TRUE,FALSE
16096,B,0,FALSE,FALSE
16145,B,7,FALSE,FALSE
16180,A,5,FALSE,FALSE
16224,B,0,FALSE,FALSE
16454,B,11,FALSE,FALSE
16504,B,0,FALSE,FALSE
16506,A,4,TRUE,FALSE
16638,B,51,TRUE,FALSE
16696,B,5,FALSE,FALSE
17085,B,33,FALSE,FALSE
17167,A,21,FALSE,FALSE
17270,A,49,TRUE,FALSE
17422,B,2,FALSE,FALSE
17461,A,1,FALSE,FALSE
17477,A,46,TRUE,TRUE
17506,B,127,TRUE,TRUE
17554,A,1,FALSE,FALSE
17814,A,14,FALSE,FALSE
17903,B,17,FALSE,FALSE
17947,A,104,TRUE,TRUE
17995,A,6,FALSE,FALSE
18013,B,21,TRUE,FALSE
18213,B,36,TRUE,FALSE
18235,A,8,FALSE,FALSE
18374,B,53,TRUE,FALSE
18731,A,1,FALSE,FALSE
18756,A,38,TRUE,TRUE
18778,A,13,FALSE,FALSE
18827,A,20,TRUE,FALSE
18849,B,74,TRUE,TRUE
18993,B,25,TRUE,FALSE
19077,A,11,FALSE,FALSE
19091,B,1,FALSE,FALSE
19474,B,2,FALSE,FALSE
19490,A,72,TRUE,FALSE
19529,B,22,FALSE,FALSE
19537,B,2,FALSE,FALSE
19593,B,18,FALSE,FALSE
19673,B,4,FALSE,FALSE
19721,B,18,FALSE,FALSE
19728,B,79,TRUE,TRUE
19746,A,65,FALSE,TRUE
19896,B,13,TRUE,FALSE
19993,A,5,TRUE,FALSE
20005,A,4,FALSE,FALSE
20052,A,8,FALSE,FALSE
20136,A,0,FALSE,FALSE
20358,B,19,FALSE,TRUE
20365,B,6,FALSE,FALSE
20465,A,108,TRUE,FALSE
20489,B,2,FALSE,FALSE
20587,B,26,FALSE,FALSE
20591,B,2,TRUE,FALSE
20721,B,99,FALSE,TRUE
20763,A,10,FALSE,FALSE
20790,B,5,TRUE,FALSE
20832,A,13,TRUE,FALSE
20940,B,1,FALSE,FALSE
21072,B,16,FALSE,FALSE
21130,B,1,FALSE,FALSE
21137,B,91,TRUE,FALSE
21228,B,149,TRUE,TRUE
21408,A,20,TRUE,FALSE
21442,B,68,TRUE,FALSE
21755,B,12,FALSE,TRUE
22069,B,7,FALSE,FALSE
22082,B,3,FALSE,FALSE
22167,B,277,TRUE,TRUE
22299,B,493,TRUE,TRUE
22398,A,4,FALSE,FALSE
22486,B,3,FALSE,FALSE
22676,B,8,FALSE,FALSE
22919,B,1,FALSE,FALSE
22935,A,274,TRUE,TRUE
22972,A,17,FALSE,FALSE
23023,B,32,FALSE,TRUE
23026,B,1,FALSE,FALSE
23084,B,85,TRUE,TRUE
23094,B,12,FALSE,FALSE
23126,B,1,FALSE,FALSE
23270,A,8,FALSE,FALSE
23333,A,9,FALSE,FALSE
23374,A,8,TRUE,FALSE
23525,B,191,TRUE,TRUE
23702,B,115,TRUE,FALSE
23748,B,45,TRUE,FALSE
24036,B,15,FALSE,FALSE
24222,A,134,TRUE,TRUE
24302,B,19,TRUE,FALSE
24328,A,2,FALSE,FALSE
24382,A,22,TRUE,FALSE
24397,A,6,FALSE,FALSE
24981,B,18,FALSE,FALSE
25047,A,0,FALSE,FALSE
25281,A,0,FALSE,FALSE
25293,B,12,FALSE,FALSE
25332,A,152,TRUE,TRUE
25466,B,2,FALSE,FALSE
25903,A,8,TRUE,FALSE
25941,B,73,TRUE,FALSE
25958,A,0,FALSE,FALSE
26083,A,100,TRUE,TRUE
26243,B,250,TRUE,TRUE
26253,A,10,FALSE,FALSE
26466,B,13,TRUE,FALSE
26502,A,147,TRUE,TRUE
26586,A,391,TRUE,FALSE
27135,A,18,FALSE,FALSE
27163,B,23,FALSE,FALSE
27605,A,19,TRUE,FALSE
27693,A,4,FALSE,FALSE
27754,A,14,FALSE,FALSE
27759,A,61,TRUE,TRUE
27849,B,61,TRUE,FALSE
27851,B,75,TRUE,FALSE
27979,A,75,FALSE,FALSE
28025,A,57,TRUE,FALSE
28091,A,35,TRUE,FALSE
28123,A,9,FALSE,FALSE
28332,A,13,FALSE,FALSE
28405,A,1,FALSE,FALSE
28433,A,20,FALSE,FALSE
28497,B,77,TRUE,TRUE
29185,B,3,FALSE,FALSE
29311,B,7,FALSE,FALSE
29317,B,6,FALSE,FALSE
29455,A,51,TRUE,TRUE
29522,B,197,FALSE,TRUE
29658,A,2,FALSE,FALSE
29677,B,22,FALSE,FALSE
29753,B,69,TRUE,FALSE
29861,B,4,FALSE,FALSE
29999,A,260,TRUE,TRUE
30039,B,20,FALSE,FALSE
30059,A,4,FALSE,FALSE
30274,A,7,TRUE,FALSE
30277,A,0,FALSE,FALSE
30343,A,8,TRUE,TRUE
30348,A,48,TRUE,TRUE
30594,B,15,TRUE,FALSE
30631,A,61,FALSE,TRUE
30868,A,1,FALSE,FALSE
30928,A,12,TRUE,FALSE
31073,A,270,TRUE,TRUE
31151,A,59,FALSE,FALSE
31200,A,141,TRUE,FALSE
31214,A,53,FALSE,TRUE
31222,B,20,FALSE,FALSE
31638,B,16,FALSE,FALSE
31691,A,0,FALSE,FALSE
31812,A,37,TRUE,FALSE
31903,A,467,TRUE,TRUE
32292,B,25,FALSE,FALSE
32403,B,2,TRUE,FALSE
32569,B,4,FALSE,FALSE
32595,B,11,TRUE,FALSE
32642,A,40,FALSE,FALSE
32730,A,9,FALSE,FALSE
32942,B,11,TRUE,TRUE
33097,A,12,FALSE,FALSE
33126,A,6,FALSE,FALSE
33189,B,9,TRUE,FALSE
33274,B,4,FALSE,FALSE
33316,B,18,TRUE,FALSE
33445,A,77,FALSE,TRUE
33489,A,4,FALSE,FALSE
33639,B,45,TRUE,FALSE
33703,B,43,TRUE,FALSE
33794,A,3,FALSE,FALSE
33954,B,30,TRUE,FALSE
33967,A,33,TRUE,TRUE
34016,B,47,TRUE,FALSE
34022,B,72,FALSE,TRUE
34027,B,16,FALSE,FALSE
34076,B,2,FALSE,FALSE
34447,B,93,TRUE,TRUE
34469,A,222,TRUE,TRUE
34597,B,334,TRUE,TRUE
34647,B,8,FALSE,FALSE
34706,A,29,TRUE,FALSE
34842,B,27,TRUE,FALSE
34859,A,16,FALSE,FALSE
34906,A,10,TRUE,FALSE
34942,B,8,FALSE,FALSE
35027,B,58,TRUE,FALSE
35056,A,84,TRUE,FALSE
35156,A,1,FALSE,FALSE
35458,B,56,FALSE,FALSE
35460,A,43,TRUE,FALSE
35730,A,50,TRUE,FALSE
35837,A,23,TRUE,FALSE
35886,A,5,FALSE,FALSE
35922,A,21,TRUE,FALSE
36003,A,48,TRUE,FALSE
36047,B,85,TRUE,TRUE
36077,A,13,TRUE,FALSE
36279,A,41,TRUE,FALSE
36280,A,5,FALSE,FALSE
36298,B,1,FALSE,FALSE
36356,A,303,TRUE,TRUE
36513,B,18,TRUE,FALSE
36560,B,48,TRUE,FALSE
36622,A,4,TRUE,FALSE
36664,B,51,FALSE,TRUE
36673,A,5,FALSE,FALSE
36761,B,134,TRUE,TRUE
36887,B,11,TRUE,FALSE
36921,A,3,FALSE,FALSE
36997,B,9,TRUE,FALSE
37155,B,3,FALSE,FALSE
37303,A,177,TRUE,TRUE
37366,B,11,TRUE,FALSE
37461,B,20,FALSE,TRUE
37740,A,39,TRUE,TRUE
37823,A,12,TRUE,FALSE
37872,A,12,TRUE,FALSE
37994,B,2,FALSE,FALSE
38151,A,9,TRUE,FALSE
38232,A,216,TRUE,TRUE
38249,B,30,TRUE,FALSE
38292,A,9,FALSE,FALSE
39069,A,227,FALSE,FALSE
39382,A,0,FALSE,FALSE
39494,A,87,TRUE,FALSE
39531,A,71,TRUE,FALSE
39774,B,567,TRUE,TRUE
39902,B,13,TRUE,FALSE
39932,A,55,TRUE,TRUE
39993,B,14,FALSE,FALSE
40233,B,78,TRUE,FALSE
40292,A,1,FALSE,FALSE
40359,A,3,FALSE,FALSE
40378,A,552,TRUE,TRUE
40427,A,96,TRUE,FALSE
40566,A,2,FALSE,FALSE
40593,A,12,TRUE,TRUE
40630,B,99,TRUE,FALSE
40653,A,107,TRUE,FALSE
40687,A,12,FALSE,FALSE
40749,B,2,FALSE,FALSE
40812,B,2,FALSE,FALSE
41112,A,4,FALSE,FALSE
41192,A,28,FALSE,FALSE
41378,B,9,FALSE,FALSE
41795,A,136,TRUE,TRUE
41842,B,15,FALSE,FALSE
41934,B,8,FALSE,FALSE
41988,B,1,FALSE,FALSE
42077,A,12,TRUE,FALSE
42316,A,6,FALSE,FALSE
42407,A,45,FALSE,TRUE
42457,A,12,FALSE,FALSE
42688,B,13,FALSE,FALSE
42703,A,9,TRUE,FALSE
42758,B,11,TRUE,FALSE
42994,B,113,TRUE,TRUE
43091,A,6,TRUE,FALSE
43368,B,32,FALSE,FALSE
43644,A,17,TRUE,FALSE
43744,A,141,TRUE,FALSE
43757,A,28,FALSE,FALSE
44400,B,95,TRUE,FALSE
44493,B,339,TRUE,TRUE
44498,A,24,TRUE,FALSE
44591,A,5,FALSE,FALSE
44670,A,6,FALSE,FALSE
44751,A,10,FALSE,FALSE
44780,A,9,FALSE,FALSE
44910,B,6,FALSE,FALSE
45066,A,85,TRUE,FALSE
45083,B,54,FALSE,FALSE
45167,A,19,FALSE,FALSE
45694,B,6,TRUE,FALSE
45698,A,452,TRUE,TRUE
45753,A,26,TRUE,FALSE
45813,B,12,TRUE,FALSE
45895,B,2,TRUE,FALSE
45896,B,11,TRUE,FALSE
45952,B,3,FALSE,FALSE
46007,A,6,FALSE,FALSE
46022,B,7,FALSE,FALSE
46347,A,57,FALSE,FALSE
46472,B,16,FALSE,FALSE
46576,A,15,FALSE,FALSE
46624,B,148,TRUE,TRUE
46629,B,57,TRUE,FALSE
46746,B,3,TRUE,FALSE
46806,A,163,TRUE,TRUE
46919,B,47,TRUE,FALSE
46938,A,54,FALSE,FALSE
47377,B,2,FALSE,FALSE
47816,A,220,TRUE,TRUE
47822,B,63,TRUE,TRUE
47990,B,25,TRUE,FALSE
48016,A,0,FALSE,FALSE
48116,A,1,FALSE,FALSE
48130,A,2,FALSE,FALSE
48201,B,84,TRUE,TRUE
48631,B,60,FALSE,FALSE
48658,A,216,TRUE,TRUE
48677,B,17,TRUE,FALSE
48942,A,290,TRUE,TRUE
48990,B,3,FALSE,FALSE
49147,B,24,TRUE,FALSE
49311,B,5,FALSE,FALSE
49330,A,18,FALSE,FALSE
49373,A,5,FALSE,FALSE
49600,A,20,FALSE,FALSE
49811,B,9,TRUE,FALSE
49995,B,15,TRUE,FALSE
50011,B,4,FALSE,FALSE
50158,B,87,TRUE,TRUE
50237,B,86,TRUE,FALSE
50339,B,0,FALSE,FALSE
50386,B,4,FALSE,FALSE
50547,A,356,FALSE,FALSE
50665,A,10,TRUE,FALSE
50686,B,3,FALSE,TRUE
50688,A,0,FALSE,FALSE
50794,B,0,FALSE,FALSE
50811,A,3,FALSE,FALSE
50850,A,34,TRUE,TRUE
51155,A,34,FALSE,FALSE
51267,A,0,FALSE,FALSE
51295,A,117,TRUE,TRUE
51310,A,23,FALSE,TRUE
51430,A,34,TRUE,FALSE
51636,B,8,FALSE,FALSE
51641,B,20,TRUE,FALSE
51823,B,54,TRUE,TRUE
51894,A,4,FALSE,FALSE
51970,B,76,FALSE,TRUE
52100,B,55,TRUE,FALSE
52177,B,3,FALSE,FALSE
52271,B,2,FALSE,FALSE
52357,A,22,TRUE,FALSE
52420,A,15,TRUE,TRUE
52636,B,3,FALSE,FALSE
53149,B,4,FALSE,FALSE
53373,B,298,TRUE,TRUE
53393,A,338,TRUE,TRUE
53450,B,1,FALSE,FALSE
53464,B,12,FALSE,FALSE
53470,B,7,FALSE,FALSE
53597,B,5,FALSE,FALSE
53638,A,16,FALSE,FALSE
53763,A,9,TRUE,FALSE
53935,B,4,FALSE,FALSE
53996,B,115,TRUE,TRUE
54069,A,170,TRUE,TRUE
54162,A,174,TRUE,TRUE
54178,A,21,FALSE,FALSE
54244,B,4,FALSE,FALSE
54256,B,6,FALSE,FALSE
54403,A,6,FALSE,FALSE
54580,A,22,FALSE,FALSE
54617,B,12,FALSE,FALSE
54680,B,2,FALSE,FALSE
54681,B,2,FALSE,FALSE
54754,A,70,TRUE,FALSE
54776,A,0,FALSE,FALSE
54975,A,3,FALSE,FALSE
55139,A,25,FALSE,FALSE
55213,B,141,TRUE,TRUE
55250,B,47,TRUE,TRUE
55480,A,1,FALSE,FALSE
55621,A,32,FALSE,FALSE
56116,B,3,FALSE,FALSE
56237,B,10,FALSE,FALSE
56269,A,2,FALSE,FALSE
56294,B,2,TRUE,FALSE
56446,A,15,FALSE,FALSE
56496,B,543,TRUE,TRUE
56522,A,10,FALSE,FALSE
56587,B,54,TRUE,FALSE
56815,A,202,TRUE,TRUE
56895,B,2,FALSE,FALSE
56997,B,41,FALSE,FALSE
57149,A,15,FALSE,FALSE
57321,A,54,FALSE,FALSE
57334,B,5,TRUE,FALSE
57339,B,22,TRUE,FALSE
57369,B,399,TRUE,TRUE
57401,A,13,TRUE,FALSE
57429,B,29,TRUE,FALSE
57516,A,38,TRUE,TRUE
57833,B,0,FALSE,FALSE
58180,B,19,TRUE,FALSE
58189,A,23,FALSE,FALSE
58289,A,237,TRUE,TRUE
58394,B,25,TRUE,FALSE
58592,B,85,TRUE,FALSE
58700,A,0,FALSE,FALSE
58768,A,11,FALSE,FALSE
58813,B,1,FALSE,FALSE
59164,A,7,TRUE,FALSE
59395,A,33,TRUE,TRUE
59531,A,18,FALSE,FALSE
60035,B,14,FALSE,FALSE
60103,B,18,FALSE,FALSE
60160,B,11,TRUE,FALSE
60410,B,26,TRUE,FALSE
60424,A,6,FALSE,FALSE
60619,B,65,TRUE,FALSE
60929,B,16,TRUE,FALSE
60956,B,17,FALSE,FALSE
60984,A,139,FALSE,TRUE
61104,A,0,FALSE,FALSE
61245,A,24,TRUE,FALSE
61462,A,23,FALSE,FALSE
61563,A,7,FALSE,FALSE
61595,B,29,FALSE,FALSE
61609,A,4,FALSE,FALSE
61651,A,3,FALSE,FALSE
61952,A,19,FALSE,FALSE
61979,A,2,FALSE,FALSE
62084,A,12,FALSE,FALSE
62145,B,1,FALSE,FALSE
62206,A,0,FALSE,FALSE
62434,A,6,FALSE,FALSE
62437,B,5,FALSE,FALSE
62566,B,67,TRUE,FALSE
62700,B,36,TRUE,TRUE
62704,B,2,FALSE,FALSE
62879,A,1,FALSE,FALSE
63001,B,33,TRUE,FALSE
63335,A,9,TRUE,FALSE
63370,A,179,TRUE,TRUE
63473,A,1,FALSE,FALSE
63478,A,202,TRUE,TRUE
63480,A,9,TRUE,FALSE
63555,B,43,FALSE,FALSE
63617,A,902,TRUE,TRUE
63766,A,6,FALSE,FALSE
63786,B,22,FALSE,FALSE
63832,A,1,FALSE,FALSE
63889,A,9,TRUE,TRUE
63962,A,4,TRUE,FALSE
64052,A,1,FALSE,FALSE
64224,B,15,FALSE,TRUE
64235,A,1,FALSE,FALSE
64309,B,125,TRUE,FALSE
64643,B,24,FALSE,FALSE
64646,B,1,FALSE,TRUE
64792,A,269,TRUE,FALSE
64849,B,31,TRUE,FALSE
64930,A,510,TRUE,FALSE
64944,B,62,FALSE,FALSE
65032,B,5,FALSE,FALSE
65452,A,16,FALSE,FALSE
65482,B,10,FALSE,FALSE
65511,A,4,FALSE,FALSE
66120,B,28,FALSE,FALSE
66509,A,46,TRUE,FALSE
66677,B,1,FALSE,FALSE
66713,B,4,FALSE,FALSE
66947,B,13,TRUE,FALSE
67078,A,9,FALSE,FALSE
67122,A,18,FALSE,FALSE
67190,B,15,FALSE,FALSE
67193,B,1,FALSE,FALSE
67234,A,3,FALSE,FALSE
67387,A,12,FALSE,FALSE
67654,B,8,FALSE,FALSE
67829,B,0,FALSE,FALSE
67910,B,18,TRUE,FALSE
67950,A,7,FALSE,FALSE
68020,B,52,FALSE,TRUE
68112,A,0,FALSE,FALSE
68151,B,136,TRUE,FALSE
68386,A,5,FALSE,FALSE
68394,B,474,TRUE,TRUE
68406,B,5,FALSE,FALSE
68485,A,26,TRUE,FALSE
68698,B,83,TRUE,FALSE
68856,A,1,FALSE,FALSE
68887,B,1,FALSE,FALSE
68915,B,121,FALSE,FALSE
68965,B,105,TRUE,TRUE
69027,B,2,FALSE,FALSE
69050,A,20,TRUE,FALSE
69392,A,46,FALSE,FALSE
69488,A,5,FALSE,FALSE
69649,B,80,TRUE,TRUE
69870,B,210,TRUE,TRUE
69917,B,16,TRUE,FALSE
69927,A,1906,TRUE,TRUE
69998,A,16,FALSE,FALSE
70074,A,0,FALSE,FALSE
70127,A,1,FALSE,FALSE
70175,B,35,TRUE,TRUE
70294,B,199,TRUE,FALSE
70522,B,6,FALSE,FALSE
70570,A,5,FALSE,FALSE
70899,B,3,FALSE,FALSE
71062,A,25,TRUE,FALSE
71119,A,118,TRUE,TRUE
71161,B,68,TRUE,FALSE
71165,B,105,TRUE,FALSE
71205,A,5,FALSE,FALSE
71235,A,38,TRUE,FALSE
71326,B,8,FALSE,FALSE
71489,A,7,FALSE,FALSE
71635,A,4,FALSE,FALSE
71698,A,6,FALSE,FALSE
71777,B,12,FALSE,FALSE
72085,B,103,TRUE,FALSE
72164,A,259,TRUE,TRUE
72353,B,5,FALSE,FALSE
72419,B,12,TRUE,FALSE
72470,B,6,TRUE,FALSE
72555,A,298,TRUE,TRUE
72614,B,3,FALSE,FALSE
72661,B,1,FALSE,FALSE
72752,B,15,FALSE,FALSE
72813,A,6,TRUE,FALSE
72872,A,10,FALSE,FALSE
72918,B,13,FALSE,FALSE
72977,B,12,TRUE,FALSE
73378,B,34,TRUE,FALSE
73412,A,3,FALSE,FALSE
73868,B,2,FALSE,FALSE
74231,A,7,FALSE,FALSE
74276,A,24,TRUE,TRUE
74369,B,7,FALSE,FALSE
74377,A,53,TRUE,FALSE
74422,B,38,FALSE,TRUE
74568,A,11,TRUE,FALSE
75029,B,98,TRUE,FALSE
75734,B,4,FALSE,FALSE
76062,A,5,FALSE,FALSE
76089,B,3,FALSE,FALSE
76133,A,50,FALSE,FALSE
76549,A,149,FALSE,TRUE
76573,A,20,TRUE,FALSE
76598,A,1,FALSE,FALSE
76662,B,30,TRUE,FALSE
76767,B,4,FALSE,FALSE
76784,B,53,TRUE,FALSE
76895,B,5,FALSE,FALSE
76917,A,113,TRUE,FALSE
76934,B,2,FALSE,FALSE
77151,B,2,FALSE,FALSE
77172,A,0,FALSE,FALSE
77195,B,25,TRUE,FALSE
77468,A,12,FALSE,FALSE
77495,B,59,FALSE,FALSE
77644,A,15,FALSE,FALSE
77731,A,106,TRUE,TRUE
77812,B,2,FALSE,FALSE
77821,B,7,FALSE,FALSE
77837,B,6,FALSE,FALSE
77850,A,59,TRUE,FALSE
78089,A,47,FALSE,FALSE
78142,B,1,FALSE,FALSE
78183,A,34,TRUE,FALSE
78237,A,4,FALSE,FALSE
78312,A,12,FALSE,FALSE
78409,A,15,TRUE,FALSE
78563,B,32,FALSE,FALSE
78846,A,0,FALSE,FALSE
78900,A,2,FALSE,FALSE
79646,B,34,TRUE,FALSE
79890,A,11,FALSE,FALSE
79929,B,16,FALSE,FALSE
80215,B,2,FALSE,FALSE
80282,A,128,TRUE,TRUE
80485,B,9,FALSE,FALSE
80496,B,0,FALSE,FALSE
80526,A,34,FALSE,TRUE
80582,B,7,FALSE,FALSE
80618,B,7,FALSE,FALSE
80634,B,215,TRUE,TRUE
80746,A,1,FALSE,FALSE
80754,B,0,FALSE,FALSE
80860,B,231,TRUE,FALSE
80884,A,5,FALSE,FALSE
80900,B,16,FALSE,FALSE
81447,A,34,FALSE,FALSE
81480,B,2,FALSE,FALSE
81524,A,34,TRUE,FALSE
81532,A,2,FALSE,FALSE
81668,B,12,FALSE,FALSE
81959,B,6,FALSE,FALSE
82064,A,41,TRUE,FALSE
82545,B,36,FALSE,FALSE
82655,B,13,FALSE,FALSE
82753,A,3,FALSE,FALSE
82783,B,36,TRUE,TRUE
82937,B,28,FALSE,FALSE
83072,A,11,TRUE,FALSE
83080,B,12,FALSE,FALSE
83103,A,7,FALSE,FALSE
83140,B,14,FALSE,FALSE
83254,A,3,TRUE,FALSE
83309,B,0,FALSE,FALSE
83317,B,5,FALSE,FALSE
83438,B,129,TRUE,TRUE
83732,B,95,FALSE,TRUE
83798,B,96,TRUE,FALSE
84100,A,160,TRUE,FALSE
84191,A,0,FALSE,FALSE
84208,B,17,FALSE,FALSE
84406,B,24,TRUE,FALSE
84816,B,11,TRUE,FALSE
84929,B,6,FALSE,FALSE
84961,B,26,FALSE,FALSE
85007,B,110,TRUE,TRUE
85277,A,61,TRUE,TRUE
85560,A,5,FALSE,FALSE
85601,A,15,FALSE,FALSE
85805,B,3,FALSE,FALSE
86342,A,12,FALSE,FALSE
86781,B,1,FALSE,FALSE
86821,B,65,TRUE,FALSE
87098,B,2,FALSE,FALSE
87220,B,18,FALSE,FALSE
87258,B,275,TRUE,TRUE
87276,A,19,FALSE,TRUE
87410,A,26,FALSE,FALSE
87419,A,46,FALSE,FALSE
87509,B,3,FALSE,FALSE
87542,A,40,TRUE,FALSE
87640,B,13,FALSE,FALSE
87649,B,8,FALSE,FALSE
87671,B,2,FALSE,FALSE
87697,B,3,FALSE,FALSE
87728,B,4,FALSE,FALSE
87827,A,37,TRUE,FALSE
88235,B,11,FALSE,FALSE
88282,A,22,TRUE,FALSE
88361,B,55,FALSE,TRUE
88392,A,20,TRUE,FALSE
88497,A,197,TRUE,TRUE
88521,B,44,FALSE,FALSE
88907,A,133,TRUE,FALSE
89272,B,0,FALSE,FALSE
89605,B,2,FALSE,FALSE
89618,A,21,FALSE,FALSE
90120,A,2,FALSE,FALSE
90233,A,5,FALSE,FALSE
90335,B,2,FALSE,FALSE
90481,B,14,FALSE,FALSE
90566,A,0,FALSE,FALSE
90640,A,44,FALSE,TRUE
90744,A,14,FALSE,FALSE
90755,A,76,TRUE,FALSE
90892,A,52,TRUE,FALSE
90916,B,88,TRUE,TRUE
90979,A,36,TRUE,FALSE
90992,B,66,TRUE,FALSE
91010,B,70,FALSE,FALSE
